pais,iso2,cidade,latitude,longitude,posicao_historica,criterio,fonte_coordenadas,observacao
Afeganistão,AF,Kabul,34.52813,69.17233,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Afeganistão,AF,Herāt,34.34817,62.19967,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Afeganistão,AF,Kandahār,31.61332,65.71013,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Afeganistão,AF,Balkh,36.75635,66.8972,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Afeganistão,AF,Ghazni,33.55391,68.42096,5,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Albânia,AL,Tirana,41.32744,19.81866,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Albânia,AL,Shkodër,42.06828,19.51258,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Albânia,AL,Durrës,41.32355,19.45469,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Albânia,AL,Berat,40.70583,19.95222,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Albânia,AL,Gjirokastër,40.07583,20.13889,5,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Argélia,DZ,Algiers,36.73225,3.08746,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Argélia,DZ,Oran,35.69906,-0.63588,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Argélia,DZ,Constantine,36.365,6.61472,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Argélia,DZ,Tlemcen,34.87833,-1.315,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Argélia,DZ,Annaba,36.9,7.76667,5,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Andorra,AD,Andorra la Vella,42.50779,1.52109,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Andorra,AD,Canillo,42.5676,1.59756,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Andorra,AD,Encamp,42.53474,1.58014,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Andorra,AD,la Massana,42.54499,1.51483,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Andorra,AD,Ordino,42.55623,1.53319,5,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Angola,AO,Luanda,-8.83682,13.23432,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Angola,AO,Benguela,-12.57674,13.40268,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Angola,AO,Lubango,-14.91717,13.4925,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Angola,AO,Huambo,-12.77611,15.73917,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Angola,AO,Mbanza Kongo,-6.26667,14.23833,5,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Antígua e Barbuda,AG,Saint John’s,17.12096,-61.84329,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Antígua e Barbuda,AG,Falmouth,17.02741,-61.78136,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Antígua e Barbuda,AG,All Saints,17.06671,-61.79303,3,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Antígua e Barbuda,AG,Barbuda Parish,17.62403,-61.77651,4,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Antígua e Barbuda,AG,Bolands,17.06565,-61.87466,5,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Argentina,AR,Buenos Aires,-34.61315,-58.37723,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Argentina,AR,Córdoba,-31.40648,-64.18853,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Argentina,AR,Salta,-24.80645,-65.41999,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Argentina,AR,Mendoza,-32.88946,-68.84582,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
